userName,score,at,content
Yassar Ahmad Shidqi,5,2022-06-19 22:28:46,"Tips: Untuk yang tidak bisa masuk sikadu di website, silakan login di apl terlebih dahulu, kemudian klik semua menu yang ada di apl untuk menghubungkan data, setelah itu ke website UNNES, klik refresh dan login via website"
Futageku,3,2022-06-19 22:19:35,"Ga bisa login via web, padahal udah login di myunnes. Ayo min segera diperbaiki mau buat liat nilai"
Reyshii,1,2022-06-19 20:51:15,Tidak bisa masuk kedalam aplikasi my unnes. jika ingin masuk menggunakan akun google pasti ngefreeze.
Akhdan Saputra,5,2022-06-19 19:27:02,"Karena telah mempermudah saya dalam membuka Sikadu, maka dari itu saya kasih bintang 5"
Joice Dwis,3,2022-06-19 19:08:05,"Sebenernya tampilan bagus okk sangat praktis, tapi .... tetap tidak bisa buka elena sikadu dll :(((("
Bagus Darmawan,1,2022-06-19 18:50:40,Masi banyak yang harus diperbaiki :)
Camelia Widya Sari,2,2022-06-19 18:42:32,"Tetap tidak bisa buka sikadu,elena dll"
Caramel and Cheese,2,2022-06-19 18:03:36,Not good
Dyan Kusuma,1,2022-06-19 17:57:11,Tetep gabisa login 👍
Randhi 1498,3,2022-06-19 17:17:05,"Tampilannya bagus, tapi saya tidak bisa buka sikadu, elena, dll"
Muhammad Faris Adilah,5,2022-06-19 17:16:31,Mantap...Jadi bisa buka Sikadu ...
Baktiar Sianipar,1,2022-06-19 17:05:02,"1. Fiturnya dibuat lebih banyak, tapi gak usah sebanyak di web. Yg perlu perlu aja. 2. Buat apa bikin apk jika fungsinya sama saja seperti di telegram? 3. Jika mau login di website harus login juga di apk, ini sangat tidak efektif. 4. Tolong dipikirkan mahasiswa yg isi notifikasi hp-nya ""penyimpanan anda hampir habis"", kasian jika tidak bisa mengakses sikadu & elena karena tidak bisa instal myUNNES. 5. UI nya lumayan, gak terlalu padat kayak website. Saya sangat mengapresiasi usaha UNNES. 😁😁☺"
Picas Pradivta Utama,5,2022-06-19 17:03:42,Terima kasih mama telah mengizinkan aku kuliah di UNNES
diaana lestara,3,2022-06-19 16:58:51,jadi gabisa buka elena sama sikadu lagi
Muhammad Imam Bukhari,5,2022-06-19 16:49:24,Alhamdulilah... Mantap
Azhar Aufa,5,2022-06-19 16:33:18,Mantap
Nurul Mustain,5,2022-06-19 16:14:47,naiss
Rudi Hartono,5,2022-04-26 03:58:05,Ok very good
